sighted_at	reported_at	longitude	latitude	dist_to_stalker	stalker_id	objects	sentence
19990710	19990710	-110.9262353	32.2218917	401.608109303	82195	None	None
19990710	19990713	-117.1627714	32.7174209	66.3548956477	82195	None	None
19900515	20001027	-81.3784445	40.7989522	160.226001876	29031	None	None
19901015	20030618	-97.7436995	30.2711286	68.5947144911	87846	None	None
19980314	20070816	-87.8486613	41.4958665	48.0064764005	80143	None	None
19900515	20071224	-90.793201	44.684128	486.495847672	29031	None	None
19930315	20080202	-80.8978758	44.4560807	253.682946333	86363	None	None
