filename	objects
85016_submitter_file4__2017jul050517PM2cropped1.JPG	['crane', 'drilling platform, offshore rig', 'airship, dirigible']
81585_submitter_file4__image.png	['planetarium', 'television, television system', 'dugong, Dugong dugon', 'bubble', 'car mirror']
78812_submitter_file8__image.jpeg	['space shuttle', 'beacon, lighthouse, beacon light, pharos', 'projectile, missile', 'missile']
87225_submitter_file2__20171002121337Kopie.jpg	['buckeye, horse chestnut, conker', 'volcano', 'balloon', 'obelisk', 'lakeside, lakeshore']
83130_submitter_file4__4.RectangularUFOWithStrangeContrailsPhotograph1Enlarged2.jpg	['wing', 'hammerhead, hammerhead shark', 'airship, dirigible', 'tiger shark, Galeocerdo cuvieri', 'great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']
83349_submitter_file2__2.ExmouthTriangleUFOMarked.JPG	['monastery', 'boathouse', 'lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'beacon, lighthouse, beacon light, pharos']
81361_submitter_file3__20160929052156HDR.jpg	["jack-o'-lantern", 'jellyfish', 'nematode, nematode worm, roundworm', 'ski mask', 'volcano']
83174_submitter_file3__3.BlackObjectWithAlmondShapedLightEnlarged2.JPG	['vulture', 'airship, dirigible', 'kite']
83534_submitter_file2__2.LongUFORotatingCounterclockwisePhotograph2Original.JPG	['parachute, chute', 'volcano', 'geyser']
85595_submitter_file1__IMG2873.PNG	['car mirror']
78818_submitter_file2__Sidsightingnightsky.jpeg	['binder, ring-binder', 'jersey, T-shirt, tee shirt', 'sweatshirt', 'laptop, laptop computer', 'CD player']
83760_submitter_file6__DSC01524.JPG	['pole', 'reel']
84538_submitter_file3__IMG0682.JPG	['chain saw, chainsaw', 'hook, claw', 'ski', 'airship, dirigible', 'car mirror']
84142_submitter_file2__0528171441.jpg	['balloon', 'crane', 'flagpole, flagstaff', 'wing', 'spotlight, spot']
89714_submitter_file6__0D8E103AEF7E45439B70F2463C2466B1.jpeg	['pickup, pickup truck', 'car wheel', 'limousine, limo', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'minivan']
90956_submitter_file4__7455813CE3354437A0AF26602E7515CD.jpeg	['whistle', 'knot', 'coil, spiral, volute, whorl, helix']
84937_submitter_file1__image.jpg	['envelope']
82718_submitter_file4__20170319165327.jpg	['geyser', 'fountain', 'lakeside, lakeshore']
84183_submitter_file4__20170603202522.jpg	['pool table, billiard table, snooker table', 'bubble', 'golf ball', 'jellyfish']
79193_submitter_file3__CORIGINALPOSITION3.JPG	['space shuttle', 'planetarium', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'bell cote, bell cot', 'flagpole, flagstaff']
81809_submitter_file1__DSCF98811.jpg	['bulbul', 'coucal', 'sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita', 'kite', 'vase']
83810_submitter_file2__20170513114445.jpg	['nematode, nematode worm, roundworm', 'traffic light, traffic signal, stoplight', 'bubble', 'wing', 'car mirror']
80596_submitter_file1__aerialphotoairport.jpg	[]
79666_submitter_file6__IMG3074.JPG	['laptop, laptop computer', 'traffic light, traffic signal, stoplight', 'projector', 'photocopier', 'spotlight, spot']
84862_submitter_file3__FBIMG1499222411615.jpg	['fire engine, fire truck', 'traffic light, traffic signal, stoplight', 'limousine, limo', 'car mirror', 'tow truck, tow car, wrecker']
86337_submitter_file2__IMG5742.GIF	['wing']
87857_submitter_file3__Screenshot20171107194646.png	['goose', 'pelican', 'albatross, mollymawk', 'grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus', 'oystercatcher, oyster catcher']
